comment,topic,cluster,pred_topic
calling participate calling week january,90,87,Social media for politics
watched extreme makeover tonight awesome apart,104,77,Extreme Makeover show
doritos commercial funniest,99,68,Epic Doritos Superbowl commercials
blog protect facebook account hacker fbs security feature,95,38,Facebook and privacy settings
vancouver men busted illegal ice fishing three ice fishing prohibited barbed hook ba,60,8,Fishing events and gear
smile katrina face extreme makeover aww seriously dont text drive,104,77,Extreme Makeover show
oscar nomination list king speech lead nomination,88,39,Awards season: Oscars and SAG
fishing southwest ohio realtime article copious system air force job health care medic,60,66,Fishing events and gear
calgary gal fish tank aquarium amp stand access price dropped,60,74,Aquariums and pet care
full http support facebook making site secure user fb,95,38,Facebook and privacy settings
check video chrysler eminem imported detroit super bowl commercial ad,99,41,Super Bowl commercials
vinson rule entire hcr law lack severability clause entire text,22,42,Healthcare reform legal battles
illinois supreme court rahm chicago resident eligible mayor examiner illinois suprem illinois,21,46,Rahm Emanuel ballot case
hey kris big fan watch kardashian lot love day,72,55,Kardashians
damaged artifact egyptian national museum cap al jazeera live stream egypt jan,10,7,Egyptian protests and museum protection
don text drive,104,61,Safe driving pledges
lovee thee kardashians lt hehe seasonn nee episode righhht noww watch watch watch lt,72,55,Kardashians
videotwitter net boston celtic kendrick perkins play cleveland cavalier kendrick perkins coming,67,82,Celebrity gossip and pop culture
acai berry detox scam acai berry detox scam rachel weight loss blog acai weight loss experien,55,9,Weight-loss diets and acai berry
fly fishing catch day magnificent fishing lodge,60,81,Fishing
keith olbermann join current tv report,30,62,Keith Olbermann’s move to Current TV
planning fly fishing trip,60,2,Fishing
fishing tackle summary,60,28,Fishing events and gear
post debt consolidation debt consolidation,74,57,Consumer debt consolidation
online american social networking twitter politics campaign,45,63,Social media for politics
somali pirate expand motherships extend range game changer navy,107,58,Pirates and maritime security
aguilera repeat national anthem ap,75,6,Christina Aguilera’s national anthem mishap
king speech lead oscar list film stuttering british monarch movie founder,88,39,Awards season: Oscars and SAG
acai berry diet side effect lose weight fast acai berry diet side effe,55,71,Weight-loss diets and acai berry
poway hold youth fishing derby nathan scharn angler will chance test,60,81,Fishing events and gear
best commercial superbowl doritos guy saved best haha,99,68,Epic Doritos Superbowl commercials
terrific abc news story role climate change play extreme winter weather,29,50,Natural disasters and climate change
comed crew restoring power customer chicago,57,18,Chicago blizzard: Historic snowstorm
chipotle ice problem investigation state news immigration,80,87,Fast food and immigration policies
journalist van trouw mishandeld ro nieuws,66,42,Egypt-related political news
orange glazed chicken wing recipe,87,16,Chicken recipes and food ideas
fishing piece pmd cycle top bottom fly assortment pale morning dun prolific hatche,60,81,Fishing
stock climb merger deal stock boost onslaught corporate merger market open monday,92,57,Stock market and investing
hahaha good news wino starbucks trenta hold bottle,62,19,Starbucks Trenta cup controversy
christina aguilera defends fumbling national anthem super bowl,75,67,Christina Aguilera’s national anthem mishap
don djokovic pleb tennis equivalent bum fucking murray moment australianopen,71,60,Australian Open tennis championship
iran hang iranian dutch woman drug smuggling tehran amsterdam reuters iranian dutch woman arrested,42,70,Iran’s political and legal actions
poll christina aguilera botch national anthem super bowl singer repeat accidentally tarnishing othe,75,65,Christina Aguilera’s national anthem mishap
fast food caught immigration crosshairs,80,82,Fast food and immigration policies
yuck taco bell meat beef,20,3,Taco Bell lawsuit
avenue kill obamacare florida federal judge rule obamacare,22,69,Healthcare reform legal battles
crappie fishing hot percy priest wft newsanyone bass percy priest reall,60,81,Fishing events and gear
fabulous recipe mexican caldo pollo chicken soup jalepeno cheese cornbread,87,83,Chicken recipes and food ideas
black swan artistically perfect portman acting brilliant plot shallow doesn affect overwhelming experience,101,54,Black Swan and Natalie Portman
justice extend protection workplace retaliation supreme court ruled employer sued,89,18,Healthcare reform legal battles
supreme court rule man sue firm retaliation,89,76,Healthcare reform legal battles
best buy sell verizon iphone best buy announced wednesday will offer verizon iphone,85,1,Electronics and gadgets
loved larry good pier thought kardashians bimbo type fun loving great kudos,72,55,Kardashians
love fishing fly fishing reel hot seller ebay info,60,81,Fishing
check delicious chicken recipe,87,16,Chicken recipes and food ideas
bloodied beaten bbc journalist camera report going hospital egypt democracynow,66,22,Egypt-related political news
wanting fish chesapeake checkout virginia beach fishing charter ad,60,2,Fishing events and gear
audi green car superbowl commercial top ten super bowl commercial time,99,31,Super Bowl commercials
recording artist michael marisa help bullying victim amazing song video,90,84,Urban gossip and celebrity sightings
street yemen day rage,79,21,Middle East protests
weight loss diet plan acai juice equal nutritional claim acai,55,71,Weight-loss diets and acai berry
mark kermode oscar tip mark kermode verdict year academy award nomination news,88,33,Awards season: Oscars and SAG
tune abc check extreme makeover,104,77,Extreme Makeover show
hee hee jesse ventura slam tsa lawsuit,25,56,Jesse Ventura vs TSA lawsuit
william gibson stuxnet panzergeist sez piece cyberpunk author william gibson share finding,83,78,Social media influence in democracy
interesting fishing remains good rest week lt lt,60,28,Fishing
fish stock exploited thirty percent fish stock monitored fao depleted,60,42,Fishing
vote best superbowl commercial time awesome,99,84,Super Bowl ad reviews
kia epic ride commercial,99,48,Mercedes Benz and Kia Superbowl commercials
emanuel chicago ballot,21,46,Rahm Emanuel ballot case
weight loss diet plan south american acai berry currently american lose,55,71,Weight-loss diets and acai berry
yemen president ali abdallah saleh power year periodically announces won election,79,14,Yemen protest news
check darth vader superbowl ad hysterical vw academy commercial starring bill hater hadder,99,84,Super Bowl commercials
christina aguilera flub national anthem ap celebrity news,75,67,Christina Aguilera’s national anthem mishap
news search moscow blast briton uk foreign office urgently checking briton,36,87,Moscow airport bombing
unemployment rate state glance ap ap unemployment rate rose state month fresh evi,26,24,Job market and unemployment rate
superbowl commercial doritos pepsi stoked commercial sucked,99,44,Pepsi Max and Doritos ads
science fiction author futurist william gibson stuxnet,83,78,Iran’s political and legal actions
reuters tcot cuomo call york budget process sham,19,32,Stock market and investing
twitter explodes christina aguilera mess national anthem super bowl twitter abuzz commen,75,65,Christina Aguilera’s national anthem mishap
yemen president extend term egypt jordan tunisia,79,14,Middle East protests
social medium growing role social medium,45,40,Social media for politics
bed bug problem bad bed bug summit washington,52,18,Bed bugs issue
minute update setting facebook secure enabling http,95,38,Facebook and privacy settings
cb super bowl commercial favorite,99,84,Super Bowl ad reviews
alberta ferretti spring rtw,46,59,Celebrity gossip and pop culture
chicken chili pillsbury,87,83,Chicken recipes and food ideas
omg love taco bell law firm sue taco bell claim beef label misleading,20,3,Taco Bell lawsuit
congratulation novak djokovic winning australian open tennis final melbourne played fantastic game,71,60,Australian Open tennis championship
bedbug case clinophobia fear going bed,52,49,Bed bugs issue
christina aguilera fu nat anthem super bowl,75,67,Christina Aguilera’s national anthem mishap
kim kardashian fine piece bubble butted sweetness love stuck,72,55,Kim Kardashian’s social presence
state follow arizona lead push immigration bill power,82,26,Fast food and immigration policies
aguilera repeat national anthem ap ap christina aguilera flubbed belted,75,6,Christina Aguilera’s national anthem mishap
check video super bowl heineken commercial verry funny,99,34,Super Bowl ad reviews
facebook roll encryption wake ceo fan hacked security central facebook,95,38,Facebook and privacy settings
definitely nuit blanche starbucks trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
chicago foot snow hour bout blizzard heading hater,57,43,Chicago blizzard: Historic snowstorm
celebrity sighting sundance film festival,96,23,Sundance Film Festival
issue super bowl commercial,99,52,Super Bowl ad reviews
king speech rule producer guild award king speech claimed crown best film,88,45,Awards season: Oscars and SAG
volkswagen sneak peek cute superbowl commercial fav,99,37,Super Bowl commercials
tsa scanner spot bomb dong tsa,25,11,TSA body scanners
pell grant set academic year,97,75,College financial aid insights
chicken piccata dinner yum,87,16,Chicken recipes and food ideas
beverly hill calif ap british monarchy saga king speech lead academy award,88,45,Awards season: Oscars and SAG
tim cook step steve job apple san francisco chronicle,106,51,Steve Jobs’ health and impact on Apple
chicken cutlet caper sauce recipe simply recipe,87,16,Chicken recipes and food ideas
movie review rite horror thriller,14,36,Movies on exorcism
toughens sanction belarus join eu widening sanction belarus leader follow,110,87,Myanmar sanctions and political transitions
fishing news freshest fishing content delivered directly browser matter web,60,81,Fishing
congrats firth portman bale leo sag award best picture highest award best ensemble king speech,88,45,Awards season: Oscars and SAG
james franco sundance drag,96,30,Celebrity gossip and pop culture
gbmiii ap king speech top film producer award los angeles ap king speech claimed,88,45,Awards season: Oscars and SAG
celebnews king speech tom hooper reign supreme director guild award celebritynews,88,45,Awards season: Oscars and SAG
immigration law enforced consistently,82,24,Fast food and immigration policies
poll christina aguilera botch national anthem super bowl,75,65,Christina Aguilera’s national anthem mishap
ashley nj teen launch anti bullying program,90,49,Lady Michelle Obama fitness campaign
james franco sundance drag tmz,96,30,Sundance Film Festival
yemen protest call president saleh,79,21,Yemen protest news
pledge text driving,104,61,Safe driving pledges
demi moore ashton kutcher sexy sundance showbiz spy,96,72,Celebrity gossip and pop culture
seriously guy dont text drive addicted texting phone cant driving,104,61,Safe driving pledges
poll gop catch dems social medium younger internet user pew lik socialmedia,45,63,Social media for politics
guardian journalist arrested beaten egypt,66,25,Egypt-related political news
weight loss acai berry bitcomet blog acai berry diet acai diet acai bromelain weight loss acai pow,55,9,Weight loss and acai berry products
asia pacific entrepreneur award golden key international honour society beasiswa scholarship,97,78,Scholarships and international awards
christina aguilera muffed lyric national anthem,75,65,Christina Aguilera’s national anthem mishap
identity theft social medium smith credit report refinance discovered,108,10,Identity theft concerns
senate teabaggers desperate caucusing member teatards tea thursday,103,9,Celebrity gossip and pop culture
nominee announced annual academy award,88,33,Awards season: Oscars and SAG
fit entire bottle wine starbucks trenta scary,62,19,Starbucks Trenta cup controversy
twelve oscar nod king speech approved don understand academy hate leonardo dicaprio,88,39,Awards season: Oscars and SAG
creamy chicken mushroom pot pot pie topper abc news rachael ray share meal reheat,87,16,Chicken recipes and food ideas
bullet rescuer hit captain arai mahomed somali pirate captured south,107,58,Pirates and maritime security
unemployment rate drop metro area,26,80,Job market and unemployment rate
christina aguilera ruin national anthem super bowl xlv beyonce band escort nf,75,67,Christina Aguilera’s national anthem mishap
cuomo budget hit school toddler yonkers longer attend pre school syra,19,49,Job market and unemployment rate
oprah winfrey reveal family secret,13,0,Oprah Winfrey
essential weight loss diet pill guide best acai berry diet help promoting,55,71,Weight-loss diets and acai berry
acai berry best healty fruit pinoy pen article acai create originates acai berry,55,27,Weight loss and acai berry products
lat ten thousand turn rival rally yemen,79,85,Middle East protests
looter destroy mummy egyptian museum official jan egypt daddy,10,7,Egyptian protests and museum protection
ainge team month nba trade deadline celtic president basketball,67,72,Celebrity gossip and pop culture
explosion kill moscow airport explosion ripped international arrival hall moscow bu,36,17,Moscow airport bombing
big surprise colin firth natalie portman win sag award,88,4,Awards season: Oscars and SAG
eu urged overhaul fishing policy,60,66,Fishing
australia deadly flood crisis forced people flee home monday vast swath muddy water spr,98,50,Natural disasters and climate change
motorola xoom super bowl commercial tip hat apple spot video,99,41,Motorola Xoom Super Bowl ad
acai berry medicine food acai berry benefit northcountry boypost ron duckett acai berry,55,27,Weight-loss advice and fat-burning foods
energy conservation tip south hill electric heating cooling,27,77,Energy saving tips
hey hear taco bell sued beef filling beef told good enema,20,3,Taco Bell lawsuit
ahmed mansour prominent journalist beaten arrested egypt aljazeera jan,66,25,Egypt-related political news
relevance fly fishing rod fly fishing outdoor activity fly fishing seriously exciting fan,60,81,Fishing
update al jazeera english reporting egypt security police arrested al jazeera arabic bureau clief aj journalist cairo,66,25,Egypt-related political news
credit card debt relief program avoid bankruptcy settle debt day reliable,74,57,Consumer debt consolidation
employment gaining speed jobless rate washington reuters employment shifted,26,80,Job market and unemployment rate
haha funny news king speech top film producer award ap,88,45,Awards season: Oscars and SAG
motorola attack apple superbowl commercial motorola apple,99,1,Motorola Xoom Super Bowl ad
caption contest win ticket gear fly fishing film tour tim romano fly fishing film tour kick,60,81,Fishing events and gear
black men america scholarship deadline february female student apply,97,75,College scholarships and financial aid
acai berry acai diet info acai berry detox product curious acai berry,55,27,Weight-loss diets and acai berry
fact identity theft,108,10,Identity theft concerns
leanspa acai berry diet fact fiction acai berry weight loss fad buyer,55,71,Weight-loss diets and acai berry
hilarious doritos commercial pitched superbowl,99,68,Epic Doritos Superbowl commercials
great tip protecting privacy facebook receive lot question,95,53,Facebook and privacy settings
acai berry improve health lose weight acai acai berry fruit,55,27,Weight loss and acai berry products
trout biting tackle read urban phoenix az metro lake fishing trip local park,60,66,Fishing
extreme makeover,104,77,Extreme Makeover show
recipe chicken cutlet,87,16,Chicken recipes and food ideas
thousand egyptian form human chain egypt museum protect looting aljazeera,10,7,Egyptian protests and museum protection
angling free fishing access wft newsby cathy pelletier chronicle dunnville peopl,60,66,Fishing events and gear
google news budget plan spread pain albany time union reutersbudget plan spread painalbany time unionmajor,19,32,Job market and unemployment rate
dumb as skechers commercial wack as kimkardashian superbowl worst,99,42,Kim Kardashian’s social presence
fox news correspondent beaten hospitalized fleeing molotov cocktail egypt video treated spy military,66,22,Egyptian protests and museum protection
thousand protest jordan reform cnn news,38,85,Middle East protests
blackberry beating iphone smartphone battle,81,1,Electronics and gadgets
ditto pepsi max commercial win lmao superbowl,99,44,Pepsi Max and Doritos ads
exclusive charlie sheen doesn rehab charlie sheen refusing enter reh,68,12,Charlie Sheen controversies
texting driving good idea,104,61,Safe driving pledges
mba scholarship nottingham university business school uk beasiswa scholarship,97,78,Scholarships and international awards
dtn news judge strike part health care law federal judge ruled presiden,22,35,Healthcare reform legal battles
super bowl xlv christina aguilera repeat national anthem espn,75,67,Christina Aguilera’s national anthem mishap
acai berry effective weight loss health benefit article will explain aca,55,27,Weight-loss diets and acai berry
news sen paul tea party hold power hill predicted tea party movement,103,9,Social media for politics
super bowl recipe buffalo chicken pizza,87,16,Chicken recipes and food ideas
breaking al jazeera journalist arrested cairo egypt crowd grows tahrir,66,25,Egypt-related political news
chevy run deep chevrolet commercial superbowl ad check imabuzzagent,99,34,Super Bowl commercials
christina aguilera fluff national anthem,75,67,Christina Aguilera’s national anthem mishap
npr fda approves drug prevent preterm birth,58,24,FDA drug approvals
andreawoo talked chrysler superbowl commercial,99,5,Super Bowl commercials
facebook instant personalization privacy setting sharing innermost secret,95,53,Facebook and privacy settings
oscar nomination draw attention pa gas drilling gasland fracking,109,59,Natural disasters and climate change
identity theft cost infographic online fraud crime rise mo,108,10,Identity theft concerns
federal judge florida strike obama health care plan south florida,22,69,Healthcare reform legal battles
stuxnet concern iranian health ministry york time published report week describing stuxnet,83,87,Iran’s political and legal actions
eliza dushku drop sundance adorable ll admit thing eliza dushku,96,72,Sundance Film Festival
blog post beefy,20,3,Taco Bell lawsuit
volkswagen commercial force superbowl toocute,99,37,Super Bowl commercials
lizzie olsen storm sundance film festival kevin dolak buzz worthy film premiering week,96,72,Sundance Film Festival
exsteme makeover grabbing heart don text drive,104,61,Extreme Makeover show
king speech land nomination award season favorite social network trail true grit,88,45,Awards season: Oscars and SAG
will facebook privacy seriously site import facebook profile permission cnn,95,38,Facebook and privacy settings
china praise hu trip fruitful yahoo news,61,84,Social media for politics
unique college scholarship student,97,75,College scholarships and financial aid
watch australian open men tennis final live online will history andy murray,71,60,Australian Open tennis championship
superbowl commercial kale fitblog,99,34,Super Bowl ad reviews
charlie sheen leaf hospital medical emergency,68,12,Charlie Sheen controversies
french journalist arrested cairo,66,25,Egypt-related political news
super bowl xlv christina aguilera repeat national anthem,75,67,Christina Aguilera’s national anthem mishap
journalist attacked detained egypt big hollywood,66,25,Egypt-related political news
obamacare struck stage set showdown federal judge monday struck,22,24,Healthcare reform legal battles
fishing rule federal panel table kevin wadlow annual harvest popular recreational fish,60,66,Fishing events and gear
best super bowl commercial commercial super bowl cream advertisi,99,44,Super Bowl ad reviews
sedative free whale fishing,60,28,Fishing events and gear
yemen protest february day rage video news egypt jan mubarak syria libya jordan ugc,79,21,Middle East protests
list journalist threatened attacked detained reporting egypt,66,25,Egypt-related political news
egyptian army start rounding journalist jpost,66,25,Egypt-related political news
twitter facebook blocked egypt news jan politics sm jan,45,63,Egypt-related political news
airhead christina aguilera screw national anthem super bowl xlv tcot tlot,75,67,Christina Aguilera’s national anthem mishap
missouri court rule immigrant adoption right terminated illegally missouri supreme court tuesday overtu,82,42,Fast food and immigration policies
photo star sundance hollywood contingent set shop mid,96,23,Sundance Film Festival
taco bell sued selling fake meat damn wonder fake lmao eating taco bell month ago haha,20,3,Taco Bell lawsuit
jmg court rule rahm emanuel ineligible mayor chicago opponent white house,21,46,Rahm Emanuel ballot case
toyota renews scholarship program donation american indian college fund denver jan prnewswi,97,78,College scholarships and financial aid
cnn anti government protest yemen hundred anti government protester gathered news,79,21,Middle East protests
quick avgolemono orzo chicken soup recipe,87,16,Chicken recipes and food ideas
favorite superbowl commercial vw,99,84,Super Bowl commercials
andy murray australian open final will face djokovic atptennis yeg,71,60,Australian Open tennis championship
academy award nominee,88,33,Awards season: Oscars and SAG
south korea target pirate incorporation anti piracy operation gulf aden op,107,58,Pirates and maritime security
social network king speech aim oscar,88,39,Awards season: Oscars and SAG
swanson vitamin review weight review acai berry buy calorie control weight swanson vitam,55,9,Weight-loss diets and acai berry
novak australian open champion,71,60,Australian Open tennis championship
sending prayer marquis daniel boston celtic pray going okxo,67,56,Celebrity gossip and pop culture
acai berry eating regimen review lose lb rapid zwak org info acai berry benefit yo,55,9,Weight loss and acai berry products
crappie fishing wild fish recipe fishing tip minnesota fishing news wi,60,66,Fishing events and gear
chevy volt commercial prolly best simple tell great story nicely brandbowl superbowl,99,34,Super Bowl commercials
don text drive,104,61,Safe driving pledges
storm sign global warming mama believing,29,50,Natural disasters and climate change
thousand protest jordan reform,38,85,Middle East protests
amazing guardian journalist record audio arrest transport egypt police van jan,66,34,Egypt-related political news
fed crack bedbug,52,24,Bed bugs issue
protest sanaa yemen feb,79,21,Middle East protests
nobel peace prize wikileaks,12,78,Invalid
mbah moute nba concussion protocol usa today share friend sport basketball nba,84,82,Concussions and sports injuries
popular fly fishing smallmouth bass auction,60,81,Fishing bait secrets and auction sites
vincent tabak man accused jo yeates murder deeply saddened death,86,76,Joanna Yeates murder case
queensland flood blog arrived brisbane january surprised green,98,50,Natural disasters and climate change
holy ball bloody omg novak djokovic australian open,71,60,Australian Open tennis championship
fda ok viibryd treat depression fda approved drug called viibryd treat adult major depressiv,58,24,FDA drug approvals
watch chrysler superbowl commercial youtube ad blitz channel,99,5,Super Bowl commercials
parent student educator tip preventing bullying ten district school organized event,90,49,Safe driving pledges
rp cooking update italian recipe food cooking recipe,87,16,Chicken recipes and food ideas
national hockey league concussion rise sidney crosby marc ap sport staff associated pressp,84,82,Concussions and sports injuries
announcement lyon township high school host free college financial planning seminar feb patch,97,75,College scholarships and financial aid
southeast australia set week flood,98,50,Natural disasters and climate change
trout fishing tip learn wedding preparation trout fishing tip help catch bigger,60,66,Southwest fly fishing and trout discussions
lady focus military family childhood nutrition overstatement chi,65,71,Lady Michelle Obama fitness campaign
greg biffle justin bieber address danger texting driving extreme makeover mtv,104,41,Don’t text and drive campaigns
debt settlement program ftc law debt settlement better article learn,74,57,Consumer debt consolidation
haha christina aguilera spelled bad sing fucked national anthem super bowl lol,75,65,Christina Aguilera’s national anthem mishap
journalist egypt brutally silenced equipment confiscated freedom press,66,22,Egypt-related political news
waiting kktn tonight love kardashians,72,55,Kardashians
chipotle mexican grill received immigration custom enforcement notice inspection restaurant,80,3,Fast food and immigration policies
minute court ruling allows rahm emanuel atlantic wire,21,46,Rahm Emanuel ballot case
latest news jesse ventura force tsa submission jennifer abel thing pr guardian usa,25,56,Jesse Ventura vs TSA lawsuit
list academy award nomination chicago sun time,88,33,Awards season: Oscars and SAG
justin bieber jon stewart body snatching victim video,63,41,Celebrity gossip and pop culture
christina aguilera flub national anthem singing er rampart watched gallant,75,67,Christina Aguilera’s national anthem mishap
engel today egyptian unrest continues journalist targeted egypt jan,66,25,Egypt-related political news
gear salmon fishing,60,66,Fishing events and gear
lose weight world effective nutrition acai weight loss acai berry weight loss,55,71,Weight loss and acai berry products
natalie portman colin firth king speech winner sag melissa teo christian bale,88,4,Awards season: Oscars and SAG
save energy cash quick easy tip article will help save ton money saving en,27,77,Energy saving tips
bioportfolio news fda approves drug reduce preterm delivery risk pharmaceutical busi bioportfolio news,58,24,FDA drug approvals
climate change update bizarre weather destroyed crop legendary fund manager jeremy grantham weig,29,18,Natural disasters and climate change
bully sense anxiety relaxation technique,90,49,Concussions and sports injuries
alert best buy announces buy program electronics news alert,85,1,Electronics and gadgets
thing social medium revolution activist twitter,45,63,Social media for politics
king speech dominates oscar nomination,88,39,Awards season: Oscars and SAG
full list oscar nominee,88,33,Awards season: Oscars and SAG
favorite superbowl commercial doritos snicker darth vader volkswagen commercial pretty funny,99,37,Super Bowl commercials
changing facebook place privacy setting opportunity business location based mobile marketin,95,53,Facebook and privacy settings
egyptian army start rounding journalist egyptian military rounded journalist thursday,66,25,Egypt-related political news
cuomo expose dirty budget trick cut announced today,19,32,Social media for politics
black swan trippy natalie portman good performance,101,54,Black Swan and Natalie Portman
watch christina agulilera botch national anthem super bowl michael mccarthy usa today heard,75,65,Christina Aguilera’s national anthem mishap
cal grant financial aid application california student launched student maximize aid option app,97,75,College financial aid insights
future iran nuclear talk ahmadinejad afp afp iran president mahmoud ahmadinejad,73,70,Iran’s political and legal actions
oscar nomination box office help king speech soar tuesday dilemma box,88,39,Awards season: Oscars and SAG
chrysler commercial eminem best bad car terrible superbowl,99,5,Super Bowl commercials
carp secret homemade fish bait recipe catch bigger carp pole bending time tested fish bait,60,81,Fishing bait secrets and auction sites
news video white stripe call quits read breakup rip bummer,17,64,White Stripe breakup announcement
couldn place tsa unveils modest body scanner abc news,25,11,TSA body scanners
today president alisaleh yemen vowed election support peaceful transition power feb,79,14,Yemen protest news
eminem super bowl commercial damn chrysler commercial imported detroit,99,41,Super Bowl commercials
egypt turn internet long broadcast violence strongarms journalist leave,66,22,Egypt-related political news
olbermann land current grow york adage outspoken tv host keith olbermann fresh,30,62,Keith Olbermann’s move to Current TV
acai berry scam free trial weight loss genius scam associated acai berry supposed,55,9,Weight-loss diets and acai berry
lmao check funny commercial doritos pepsi max,99,44,Pepsi Max and Doritos ads
identity theft cost infographic,108,10,Identity theft concerns
yemen day rage draw ten thousand,79,85,Middle East protests
legal news study red light camera save life nwindiana,64,24,Red-light cameras and studies
king speech top directing prize,88,45,Awards season: Oscars and SAG
tunisia egypt yemen,79,21,Middle East protests
recognizes reduced state spending key solving ny fiscal crisis,19,32,Job market and unemployment rate
usa national anthem hard song sing,75,13,Christina Aguilera’s national anthem mishap
chevy volt super bowl commercial discovery sb sbxlv,99,34,Super Bowl commercials
white stripe officially broke thought record devastated,17,64,White Stripe breakup announcement
catalan tv team foreign journalist detained military police cairo,66,25,Egypt-related political news
pirate battle free norwegian ship,107,58,Pirates and maritime security
briton killed moscow blast uk foreign office report british citizen,36,17,Moscow airport bombing
glenn beck fran piven michael tomasky comment free americafirst,40,26,Social media influence in democracy
facebook privacy setting user facebook privacy setting extremely detailed,95,53,Facebook and privacy settings
discus fish aquarium,60,74,Aquariums and pet care
superbowl pepsi commercial best,99,44,Pepsi Max and Doritos ads
king speech lead oscar race nomination nominee annual academy award,88,39,Awards season: Oscars and SAG
navy destroys pirate mother ship arrest pirate indian navy coast guard joint operatio,107,58,Pirates and maritime security
latest dallas super bowl fiasco seat north texas rough week super bowl host,24,52,Super Bowl ad reviews
charlie sheen abuse,68,12,Charlie Sheen controversies
industry boo oscar nod gasland,109,59,Awards season: Oscars and SAG
american fishing wire duo lock snap size lb sizescorrosion resistant black finish,60,81,Fishing events and gear
footballer destroying kid brain game,84,49,Concussions and sports injuries
journalist attacked detained egypt rtdna condemns assault,66,25,Egypt-related political news
florida immigration law focused employer hasn enforced politics ap miamiherald,82,26,Fast food and immigration policies
president yemen ali abdullah saleh will seek extend presidential term pas power son jan yemen feb,79,14,Yemen protest news
lfc king speech nominated oscar bad considering game,88,39,Awards season: Oscars and SAG
ih industry news chipotle scrutiny ice,80,87,Fast food and immigration policies
justin bieber extreme makeover fan kid teen warning text drive inspired touched,104,41,Extreme Makeover show
robert redford open anniversary sundance film festival protest planned,96,23,Sundance Film Festival
judge entire hc law piper,22,46,Healthcare reform legal battles
saltwater fish tank harmful human help,60,74,Aquariums and pet care
packer win super bowl christina aguilera national anthem wrong news sky xy,75,65,Christina Aguilera’s national anthem mishap
pak thousand yemeni demand govt change thousand yemeni street capital sanaa inspir,79,21,Middle East protests
facebook privacy setting nicholas jackson facebook privacy option,95,53,Facebook and privacy settings
don text drive example cell phone driving backseat,104,61,Safe driving pledges
novak djokovic champion australian open,71,60,Australian Open tennis championship
checkout fishing fishinggear deal save,60,28,Fishing events and gear
uk news neighbour remanded jo yeates murder,86,76,Joanna Yeates murder case
tracyjones college student file fafsa fafsa government eligibility,97,75,College financial aid insights
hahaha doritoes commercial best superbowl,99,68,Epic Doritos Superbowl commercials
neighbour remanded jo yeates murder,86,76,Joanna Yeates murder case
watching keeping kardashins lol,72,88,Kardashians
hashtags tv ad superbowl audi launch commercial twitter hashtag,99,31,Super Bowl ad reviews
gas industry doesn gasland oscar nod figure fracking marcellus,109,59,Natural disasters and climate change
illinois supreme court rahm emanuel ballot illinois supreme court issued ruling allowing rahm,21,46,Rahm Emanuel ballot case
dont text drive,104,61,Safe driving pledges
eric sharp hot spot ice fishing eric sharp detroit free press eric sharp wisp smelt vi,60,8,Fishing events and gear
pensacola salt water fishing guide undoubtedly best tourist destination map unite,60,28,Fishing events and gear
australian open men final andy murray novak djokovic,71,60,Australian Open tennis championship
mann texting driving,104,61,Safe driving pledges
dutch freeze contact iran hanging iranelection well late,42,70,Iran’s political and legal actions
viibryd approved treat depression adult psych central news,58,24,FDA drug approvals
lady army health initiative model fitness nutrition mimi hall usa today time,65,47,Lady Michelle Obama fitness campaign
pepsi max ad pepsi refresh message superbowl commercial,99,44,Pepsi Max and Doritos ads
crispy chicken drumstick ranch dressing recipe,87,16,Chicken recipes and food ideas
don fda approved ingredient list taco bell beef,20,3,Taco Bell lawsuit
joined totally loving khloe kardashian,72,55,Kardashians
carpetbagger will oscar friend nomination academy award will academy award oscar,88,39,Awards season: Oscars and SAG
thefighter best ensemble film king speech will win best picture oscar,88,45,Awards season: Oscars and SAG
today talker aguilera botch star spangled banner clip survey colt,75,65,Christina Aguilera’s national anthem mishap
whatproblem charlie sheen enter rehab cbs halt production hit series,68,12,Charlie Sheen controversies
list journalist attacked egypt,66,25,Egypt-related political news
hooper boost oscar chance dga win king speech tom hooper won director movie,88,45,Awards season: Oscars and SAG
commercial winning audi time luxury prison pepsi max dieting wife husband superbowl,99,44,Super Bowl ad reviews
king speech star santa barbara international film festival santa barbar artimpactnetpr,88,45,Awards season: Oscars and SAG
kia optimum commercial dumbest,99,48,Mercedes Benz and Kia Superbowl commercials
christina aguilera fluff american national anthem super bowl xlv,75,67,Christina Aguilera’s national anthem mishap
christina aguilera forgets national anthem super bowl,75,65,Christina Aguilera’s national anthem mishap
day ago driving started text thought,104,61,Safe driving pledges
gabrielle giffords good condition transfer rehab,37,29,Charlie Sheen controversies
best fishing spot lm clickrealstyle,60,81,Fishing
buy acai berry cicerone superiority lfittips,55,9,Weight-loss diets and acai berry
house kill arizona style immigration bill rep rick rand house pas ari,82,26,Fast food and immigration policies
read goldman sachs manipulated red light photo industry geico ticket higher insurance rate,64,11,Red-light cameras and studies
twitter explodes christina aguilera mess national anthem super bowl,75,65,Christina Aguilera’s national anthem mishap
newsshare yemen president won extend term pas son reuters,79,14,Yemen protest news
china half import tax consumer electronics president hu news china will halve,61,42,Electronics and gadgets
trout fishing duo slated lmfa longview news journal local event trou,60,66,Fishing events and gear
rp cooking update chicken vegetable stir fry recipe readyseteat food recipe cook,87,16,Chicken recipes and food ideas
sign pledge abc makeachange,104,56,Safe driving pledges
